ID;X;Y;CATEGORY;STORE
395;916450;6451421;RET;McPaper
396;915121;6447549;RET;Beate Uhse
397;939671;6463152;RET;idee+spiel
398;944352;6466112;RET;idee+spiel
399;948071;6459913;RET;Das Depot
400;948071;6459913;RET;Karstadt
401;783007;6306564;RET;Shopping-Center
402;763534;6309968;RET;ROFU Kinderland
403;813833;6323724;RET;Thomas Philipps Sonderpostenmärkte
404;797692;6326902;RET;McPaper
405;939414;6349857;RET;Zeeman
406;939536;6350253;RET;Bestseller
407;939536;6350253;RET;Bestseller
408;930004;6375753;RET;Bijou Brigitte
409;963247;6336891;RET;ZOO & Co.
410;968501;6337931;RET;Montblanc
411;1020731;6229750;RET;Montblanc
412;1020589;6229894;RET;VEDES
414;1031839;6189511;RET;Swatch
415;1073470;6217348;RET;idee+spiel
416;1034445;6223916;RET;Karstadt
417;1034233;6223902;RET;Bestseller
418;1025346;6292637;RET;TOYS''R''US
419;987251;6310661;RET;Bijou Brigitte
420;966919;6249567;RET;Bijou Brigitte
421;966971;6249709;RET;Bestseller
422;965349;6249516;RET;Egesa Zookauf
423;934286;6269472;RET;Swatch
426;1019961;6043731;RET;Montblanc
427;931394;6139361;RET;Thomas Philipps Sonderpostenmärkte
428;846310;6032619;RET;Swatch
429;1286759;6122665;RET;Das Depot
430;1286403;6123076;RET;Karstadt
431;1287951;6122547;RET;Montblanc
432;1279093;6122578;RET;Euroshop
433;1285718;6135517;RET;Bijou Brigitte
434;1294643;6116689;RET;Euroshop
435;1277494;6076103;RET;Egesa Zookauf
436;1348355;6075979;RET;Butlers
437;1419174;6166992;RET;Bertelsmann Der Club
438;1364712;6152097;RET;idee+spiel
439;1270469;6227960;RET;Bestseller
440;1322057;6151597;RET;TKMaxx
441;1211624;6161194;RET;Swatch
442;1206469;6163311;RET;Thomas Philipps Sonderpostenmärkte
443;1168108;6243959;RET;ROFU Kinderland
444;1146915;6054872;RET;Oro Vivo
445;1147032;6054473;RET;Bestseller
446;1147056;6053574;RET;Shopping-Center
447;1180845;6080146;RET;Euroshop
448;1053873;6042354;RET;Euroshop
449;1115878;6155224;RET;Thomas Philipps Sonderpostenmärkte
450;1140765;6175317;RET;ROFU Kinderland
451;1142989;6176296;RET;Woolworth
452;1232068;6344218;RET;Beate Uhse
454;1242111;6330316;RET;Thomas Philipps Sonderpostenmärkte
455;1223709;6369082;RET;Bestseller
456;1223709;6369082;RET;Shopping-Center
457;1340712;6270600;RET;SpieleMax
458;1397671;6247862;RET;Oro Vivo
459;1397427;6247783;RET;NANU-NANA
460;1286661;6429642;RET;McPaper
461;1343944;6439078;RET;McPaper
462;1210739;6420501;RET;Montblanc
463;1199321;6454679;RET;Pfennigpfeiffer
464;1109175;6403861;RET;ZOO & Co.
465;1170254;6444766;RET;idee+spiel
466;1120630;6473670;RET;Weltbild
467;1086396;6432829;RET;AngelSpezi
468;1225925;6609036;RET;ZEG
469;1222627;6615304;RET;Weltbild
470;1222627;6615304;RET;Swatch
471;1222627;6615304;RET;Shopping-Center
472;1229641;6609087;RET;McPaper
473;1147144;6612503;RET;Zeeman
474;1190197;6605009;RET;Das Depot
475;1527376;6621863;DRG;Klier
478;1489109;6666705;DRG;beauty alliance (Parfümerien)
479;1630816;6631056;DRG;Rossmann
480;1648056;6595182;DRG;Klier
481;1586966;6692584;DRG;Klier
482;1593805;6749133;DRG;TopCos Parfümerie
483;1634855;6784640;DRG;Rossmann
485;1445604;6712888;DRG;Rossmann
488;1326262;6646546;DRG;Klier
489;1389837;6562372;DRG;Klier
492;1435146;6585312;DRG;DM
494;1453335;6569398;DRG;Rossmann
495;1483672;6599157;DRG;DM
497;1489571;6885298;DRG;Rossmann
498;1491123;6886901;DRG;Rossmann
499;1481582;6883789;DRG;DM
500;1483627;6883930;DRG;Rossmann
501;1491923;6883234;DRG;Rossmann
502;1488488;6873090;DRG;Rossmann
503;1481950;6876818;DRG;Rossmann
504;1481265;6875544;DRG;TopCos Parfümerie
505;1481950;6876818;DRG;Klier
506;1509838;6875528;DRG;DM
507;1510853;6872583;DRG;Rossmann
508;1512740;6890194;DRG;Essanelle
509;1500528;6908147;DRG;Rossmann
510;1480714;6903859;DRG;DM
512;1468673;6893771;DRG;Essanelle
513;1468685;6894113;DRG;Klier
514;1468213;6890189;DRG;Rossmann
515;1469437;6872258;DRG;Klier
516;1452847;6863776;DRG;Klier
517;1458663;6860201;DRG;Douglas
518;1455862;6894508;DRG;Rossmann
519;1529314;6869051;DRG;Rossmann
520;1536816;6944612;DRG;Klier
521;1497181;6928698;DRG;Rossmann
522;1511943;6892092;DRG;Klier
523;1474384;7078910;DRG;Klier
524;1410999;7070781;DRG;Rossmann
525;1485634;7184672;DRG;Klier
526;1337910;7182084;DRG;Rossmann
527;1516877;7260183;DRG;beauty alliance (Parfümerien)
528;1244268;7055564;DRG;Rossmann
529;1244849;7055350;DRG;Budnikowsky
530;1196896;7045388;DRG;Rossmann
531;1112958;7078529;DRG;Budnikowsky
532;1110610;7077916;DRG;Douglas
533;1112934;7067876;DRG;Klier
534;1097983;7063349;DRG;Budnikowsky
535;1123693;7075456;DRG;KODi Diskontläden
536;1120215;7089001;DRG;Rossmann
537;1122306;7097172;DRG;Essanelle
538;1091078;7080015;DRG;Budnikowsky
539;1096766;7081513;DRG;DM
540;1111778;7109309;DRG;Budnikowsky
541;1208899;7154248;DRG;DM
542;1195073;7167044;DRG;Rossmann
543;1173488;7194292;DRG;Rossmann
544;1233043;7204323;DRG;TopCos Parfümerie
545;1153751;7126198;DRG;Douglas
546;1093442;7247914;DRG;Rossmann
547;1063555;7260493;DRG;Douglas
548;1052995;7317877;DRG;Rossmann
549;913519;7000650;DRG;DM
550;943436;7065369;DRG;Rossmann
551;1016997;7065823;DRG;beauty alliance (Parfümerien)
552;973901;7010859;DRG;Rossmann
553;937917;6955945;DRG;beauty alliance (Parfümerien)
554;1002223;6986120;DRG;Rossmann
555;1174419;6968714;DRG;Müller
556;1093982;6972505;DRG;Rossmann
557;1083027;6860850;DRG;The Body Shop
558;1080481;6853578;DRG;SUNPOINT
559;1091295;6847937;DRG;SUNPOINT
560;1106440;6820199;DRG;Douglas
561;1023735;6908865;DRG;Klier
562;1008115;6840746;DRG;Klier
563;1040366;6811508;DRG;Essanelle
564;1029157;6790012;DRG;Douglas
565;991359;6844279;DRG;Essanelle
566;987090;6780855;DRG;DM
567;948975;6796971;DRG;DM
568;1056311;6670154;DRG;Rossmann
569;1051008;6665796;DRG;Rossmann
570;975274;6580359;DRG;beauty alliance (Parfümerien)
571;964072;6541235;DRG;Essanelle
572;961368;6540104;DRG;Klier
573;945801;6537205;DRG;Yves Rocher
574;956858;6536737;DRG;Klier
575;1040871;6751846;DRG;DM
576;1170044;6840041;DRG;Rossmann
577;1224052;6833752;DRG;Rossmann
578;1172417;6879156;DRG;DM
579;1150455;6780599;DRG;Rossmann
580;1227236;6774414;DRG;Klier
581;1218217;6754590;DRG;beauty alliance (Parfümerien)
582;1293365;6816186;DRG;Rossmann
583;1294094;6816108;DRG;The Body Shop
584;1292706;6823108;DRG;Rossmann
585;1304990;6795741;DRG;SUNPOINT
586;1343780;6786403;DRG;Klier
587;754146;6649173;DRG;KODi Diskontläden
588;754724;6657182;DRG;Rossmann
589;691525;6623702;DRG;Klier
590;806638;6646996;DRG;DM
591;804546;6651374;DRG;DM
592;840154;6701217;DRG;Stadt-Parfümerie Pieper
593;803240;6709760;DRG;beauty alliance (Parfümerien)
594;795996;6708337;DRG;beauty alliance (Parfümerien)
595;775668;6693745;DRG;KODi Diskontläden
596;773326;6691925;DRG;Douglas
597;798535;6684447;DRG;KODi Diskontläden
598;805863;6678867;DRG;KODi Diskontläden
599;789383;6704095;DRG;KODi Diskontläden
600;762003;6697173;DRG;Rossmann
601;774319;6731516;DRG;beauty alliance (Parfümerien)
602;735948;6730916;DRG;beauty alliance (Parfümerien)
603;717797;6731389;DRG;Rossmann
604;752177;6690837;DRG;TopCos Parfümerie
605;681410;6752955;DRG;DM
606;681360;6752899;DRG;KODi Diskontläden
607;731064;6674015;DRG;Rossmann
608;717195;6681865;DRG;Rossmann
609;705160;6673608;DRG;Rossmann
610;822153;6814438;DRG;KODi Diskontläden
611;796900;6782509;DRG;Stadt-Parfümerie Pieper
612;857934;6842452;DRG;beauty alliance (Parfümerien)
613;887308;6866876;DRG;beauty alliance (Parfümerien)
614;854775;6885923;DRG;Rossmann
615;885261;6916480;DRG;Rossmann
616;803773;6882754;DRG;Rossmann
617;738369;6605708;DRG;beauty alliance (Parfümerien)
618;773522;6603107;DRG;Yves Rocher
619;771775;6598393;DRG;DM
620;778147;6602863;DRG;DM
621;786721;6604215;DRG;Rossmann
622;778561;6625254;DRG;SUNPOINT
623;810247;6602041;DRG;beauty alliance (Parfümerien)
624;676838;6574661;DRG;DM
625;680282;6573372;DRG;DM
626;696651;6581686;DRG;beauty alliance (Parfümerien)
627;789572;6567312;DRG;Yves Rocher
628;791780;6567973;DRG;KODi Diskontläden
629;774023;6547897;DRG;Essanelle
630;801472;6578431;DRG;DM
631;738209;6396907;DRG;beauty alliance (Parfümerien)
632;738067;6396351;DRG;SUNPOINT
633;911944;6422502;DRG;DM
634;836793;6507770;DRG;DM
635;862771;6532158;DRG;Rossmann
636;829248;6514006;DRG;Rossmann
637;802957;6495958;DRG;KODi Diskontläden
639;892384;6595508;DRG;Klier
640;894062;6748515;DRG;beauty alliance (Parfümerien)
641;855191;6709145;DRG;Rossmann
642;880340;6711548;DRG;Klier
643;948522;6648180;DRG;beauty alliance (Parfümerien)
644;972832;6464083;DRG;DM
645;951029;6446201;DRG;The Body Shop
646;971888;6470325;DRG;Douglas
647;973581;6479646;DRG;Rossmann
648;971493;6502433;DRG;Rossmann
649;946060;6491218;DRG;Rossmann
650;987659;6446588;DRG;DM
651;990682;6469804;DRG;Rossmann
652;1033128;6482758;DRG;DM
653;1017524;6435361;DRG;Douglas
654;1009906;6426387;DRG;Müller
655;1029098;6387305;DRG;beauty alliance (Parfümerien)
656;962404;6416868;DRG;DM
657;961951;6417160;DRG;Yves Rocher
658;951763;6414900;DRG;beauty alliance (Parfümerien)
659;958765;6384018;DRG;Rossmann
660;1000713;6383475;DRG;DM
661;1001112;6395263;DRG;Rossmann
662;916748;6453537;DRG;Bulgari
663;926786;6448955;DRG;DM
664;797692;6326902;DRG;DM
666;774962;6337190;DRG;beauty alliance (Parfümerien)
667;738213;6343372;DRG;beauty alliance (Parfümerien)
668;750858;6321228;DRG;beauty alliance (Parfümerien)
669;747979;6327559;DRG;Rossmann
670;755336;6328836;DRG;Rossmann
671;844174;6305925;DRG;Essanelle
672;939536;6350253;DRG;Yves Rocher
673;933002;6333130;DRG;Klier
674;928905;6359500;DRG;SUNPOINT
675;893961;6369173;DRG;Rossmann
676;904770;6327627;DRG;Müller
677;929558;6379271;DRG;Klier
678;864118;6343050;DRG;Müller
679;941541;6351338;DRG;Rossmann
680;941939;6349770;DRG;SUNPOINT
681;951318;6356071;DRG;Klier
682;943078;6369707;DRG;Müller
683;966643;6337733;DRG;DM
684;966549;6337480;DRG;Müller
685;966919;6337639;DRG;Essanelle
686;962177;6361363;DRG;Klier
687;1020802;6230724;DRG;Müller
688;1018246;6230960;DRG;TopCos Parfümerie
689;1024577;6224545;DRG;TopCos Parfümerie
690;1019868;6212365;DRG;TopCos Parfümerie
691;1021220;6244895;DRG;TopCos Parfümerie
692;1000539;6218357;DRG;Rossmann
693;1021662;6250017;DRG;beauty alliance (Parfümerien)
694;1028092;6260711;DRG;DM
695;931757;6185883;DRG;DM
696;989875;6152410;DRG;Rossmann
697;1024695;6114466;DRG;TopCos Parfümerie
